GATE_UW_SS: 1773.932,110.6695,1181.287,93.16621,0,0
Connection: UW_I01,UW_C08,147,99,3,23,0,2
Connection: UW_I01,UW_A10,4,58,42,19,2,3
Connection: UW_I01,UW_S02,147,17,18,18,0,2
Connection: UW_I01,UW_J02,4,17,83,71,2,1
Connection: UW_A10,UW_A03,7,2,3,29,3,2
Connection: UW_A03,UW_E04,3,3,248,31,3,1
Connection: UW_A03,UW_J02,40,4,4,71,3,1
Connection: UW_E04,UW_A08,5,31,44,4,1,3
Connection: UW_A08,UW_C01,2,4,146,29,3,1
Connection: UW_C01,UW_B01,16,29,93,39,1,1
Connection: UW_B01,UW_D04,4,19,106,61,2,0
Connection: UW_D04,UW_C05,5,65,130,7,2,3
Connection: UW_D04,UW_D03,12,8,43,148,3,0
Connection: UW_C05,UW_D07,4,9,99,9,2,0
Connection: UW_D07,UW_D01,46,70,47,16,0,0
Connection: UW_D07,UW_S04,85,68,25,10,1,3
Connection: UW_D01,UW_A02,52,145,52,13,0,0
Connection: UW_A02,UW_J01,52,28,96,28,0,3
Connection: UW_J01,UW_A13,110,197,5,6,0,2
Connection: UW_A13,UW_E01,5,27,42,21,2,0
Connection: UW_A13,UW_S03,45,27,20,27,0,2
Connection: UW_E01,UW_A01,52,183,50,15,0,0
Connection: UW_A01,UW_F01,50,30,55,10,0,0
Connection: UW_F01,UW_A12,55,203,3,10,0,2
Connection: UW_A12,UW_A14,6,29,6,4,1,3
Connection: UW_A12,UW_H01,44,21,6,4,0,3
Connection: UW_H01,UW_C07,393,8,4,5,0,2
Connection: UW_D03,UW_E03,41,17,4,182,0,2
Connection: UW_E03,UW_A09,29,89,4,11,3,2
Connection: UW_E03,UW_E02,4,9,43,182,2,3
Connection: UW_A09,UW_S06,16,8,16,24,3,1
Connection: UW_A09,UW_C06,39,8,40,103,3,1
Connection: UW_C06,UW_A07,4,9,43,14,2,0
Connection: UW_A07,UW_E02,4,8,45,103,2,0
Connection: UW_E02,UW_D02,42,9,4,146,3,2
Connection: UW_D02,UW_S01,43,19,23,10,0,3
